sample,fastq_1,fastq_2,strandedness
SRR4427222,/grid/meyer/home/vshah/analysis/bio470/data/SRR4427222.fastq.gz,,unstranded
SRR4427216,/grid/meyer/home/vshah/analysis/bio470/data/SRR4427216.fastq.gz,,unstranded
SRR4427204,/grid/meyer/home/vshah/analysis/bio470/data/SRR4427204.fastq.gz,,unstranded
SRR4427194,/grid/meyer/home/vshah/analysis/bio470/data/SRR4427194.fastq.gz,,unstranded
SRR4427220,/grid/meyer/home/vshah/analysis/bio470/data/SRR4427220.fastq.gz,,unstranded
SRR4427210,/grid/meyer/home/vshah/analysis/bio470/data/SRR4427210.fastq.gz,,unstranded
SRR4427202,/grid/meyer/home/vshah/analysis/bio470/data/SRR4427202.fastq.gz,,unstranded
SRR4427172,/grid/meyer/home/vshah/analysis/bio470/data/SRR4427172.fastq.gz,,unstranded
SRR4427218,/grid/meyer/home/vshah/analysis/bio470/data/SRR4427218.fastq.gz,,unstranded
SRR4427206,/grid/meyer/home/vshah/analysis/bio470/data/SRR4427206.fastq.gz,,unstranded
SRR4427200,/grid/meyer/home/vshah/analysis/bio470/data/SRR4427200.fastq.gz,,unstranded
SRR4427170,/grid/meyer/home/vshah/analysis/bio470/data/SRR4427170.fastq.gz,,unstranded
